"","Sequence","Speaker","Utterance","X"
"530",415,"M2:","(0)因為國泰証搞不清楚 .",""
"531",416,"M1:","(0)@@@",""
"532",417,"M1:","...(1.0)我真得很訝異 .",""
"533",418,"M2:","..那時候呀 ,",""
"534",419,"M2:","..白總去唷 ,",""
"535",420,"M1:","..他找誰當總經理都<L2 OK L2>呀 ,",""
"536",NA,"M1:","不要找 --",""
"537",421,"M1:","..找莉當 --",""
"538",422,"M2:","..國泰我覺得國泰金控沒有想要花大錢吧 .",""
"539",NA,"M2:","他們的證券本來就不做大 .",""
"540",NA,"M1","對呀 .",""
"541",424,"M2:","(0)他只是找個人去管理 .",""
"542",425,"M1:","...(1.1)對呀 .",""
"543",426,"M2:","...(1.0)那時候 ,",""
"544",NA,"M2:","元大併寶來呀 ,",""
"545",NA,"M2:","然後 ,",""
"546",427,"M2:","...(1.2)因為後來莉做得那些奇怪的事情 ,",""
"547",428,"M2:","..他在寶來裡面人緣很差 .",""
"548",429,"M1:","..對 .",""
"549",430,"M2:","(0)因為連仁都很討厭他 ,",""
"550",NA,"M2:","然後一些其他高階主管 ,",""
"551",NA,"M2:","洪什麼也都不喜歡他 .",""
"552",431,"M1:","(0)洪很討厭他 ,",""
"553",NA,"","[<@這都知道@>@] .",""
"554",432,"M2:","[因為大家 -- ]",""
"555",433,"M2:","..大家都覺得他 ,",""
"556",434,"M2:","...(2.0)在那邊 ,",""
"557",435,"M1:","...啊 --",""
"558",436,"M2:","(0)雞蛋裡挑骨頭 ,",""
"559",NA,"M2:","玩一些沒有 --",""
"560",NA,"M2:","對[投資沒有助益的事] .",""
"561",437,"M1:","[沒有意義的東西] .",""
"562",NA,"M1:","沒有賺錢的東西阿 .",""
"563",438,"M2:","..這 --",""
"564",439,"M2:","..然後後來讓他想要 --",""
"565",440,"M2:","..讓他離開寶來的原因就是因為後來 ,",""
"566",441,"M2:","...(1.3)元大併了寶來後有一次 ,",""
"567",442,"M2:","...他不是請所有的董監 ?",""
"568",443,"M2:","...加上所有的 ,",""
"569",444,"M2:","..應該說是一級主管 .",""
"570",445,"M1:","(0)寶來董監嗎 ?",""
"571",446,"M2:","...(1.5)tsk .",""
"572",NA,"M2:","我[記得好像]是寶來總監 .",""
"573",447,"M1:","[XXXX]",""
"574",448,"M2:","..整個集團的啦 .",""
"575",NA,"M2:","然後還有只要好像副總級[[以上的]]高階主管 ,",""
"576",450,"M1:","[[um]].",""
"577",449,"M2:","..他幾乎全部都請 .",""
"578",451,"M1:","...(1.3)莉 ?",""
"579",452,"M2:","...那個元大經控嘛 .",""
"580",453,"M1:","(0)喔對對對對對對對 ,",""
"581",NA,"M1:","我知道 .",""
"582",455,"M2:","[在世貿的[XX] .",""
"583",454,"M1:",".. [這我知道] .",""
"584",NA,"M1:","對對對這我知道 .",""
"585",456,"M2:","(0)可是那一次呢 ,",""
"586",457,"M2:","..他們就有 ,",""
"587",458,"M2:","...(0.8)有漏掉幾個人 ,",""
"588",NA,"M2:","我覺得是刻意漏掉 .",""
"589",459,"M1:","..漏掉莉 ?",""
"590",460,"M2:","..對 .",""
"591",461,"M2:","..[然後] --",""
"592",462,"M1:","[對阿那天沒]看到他 .",""
"593",463,"M2:","..莉呢 ,",""
"594",NA,"M2:","就哭哭啼啼的跑去跟 ,",""
"595",464,"M1:","...黃董<L3 哭夭 L3> ?",""
"596",465,"M2:","...(0.7)跑去跟黃監察哭哭啼啼 ,",""
"597",NA,"M2:","然後又跑去跟那個 ,",""
"598",466,"M2:","..白太太 .",""
"599",NA,"M2:","就那個 ,",""
"600",467,"M2:","...魏董哭哭啼啼@ .",""
"601",NA,"M2:","你知道 ,",""
"602",NA,"M2:","那[兩個人] ,",""
"603",468,"M1:","   [魏董] ,",""
"604",NA,"M1:","魏董根本不管事[[阿]] .",""
"605",469,"M2:","[[對呀]]<@那 --",""
"606",470,"M2:","..那這兩位也只能兩手一攤[[[說]]] ,",""
"607",472,"M1:","[[[對啊]]] .",""
"608",471,"M2:","..這這個[[[[不是我能決定的]]]]@> .",""
"609",473,"M1:","...(0.6)  [[[[@@@@@]}]]",""
"610",474,"M2:","(0)@然後大家心裡就想說可見他人緣多差 ,",""
"611",NA,"M2:","沒有人 --",""
"612",475,"M2:","..因為元大那時候一定應該已經做過了一個<L2 pool L2> ,",""
"613",NA,"M2:","一個普查 .",""
"614",476,"M1:","(0)沒有我覺得那個是 ,",""
"615",477,"M1:","..我高度懷疑是 ,",""
"616",478,"M1:","...高階<@主管故意漏掉他@> .",""
"617",NA,"M1:","沒道理勝去他沒去耶 .",""
"618",479,"M1:","..eh老實講真得沒道理 .",""
"619",480,"M2:","(0)沒有 ,",""
"620",NA,"M2:","搞不好是有人一直在馬家前面講他壞話 ,",""
"621",NA,"M2:","說這個人很糟 .",""
"622",481,"M1:","(0)應 --",""
"623",482,"M1:","..應該不至於 .",""
"624",483,"M2:","(0)@<@這我就不清[楚了]@> .",""
"625",484,"M1:","[應該不是] .",""
"626",485,"M2:","..因為勝也很討厭他 ,",""
"627",NA,"M2:","我知[[道]] .",""
"628",486,"M1:","       [[我知道]]勝很討厭他 ,",""
"629",NA,"M1:","因為他 ,",""
"630",487,"M1:","..他 --",""
"631",488,"M1:","..在劉 --",""
"632",489,"M1:","..在投信那邊跟勝對鬥呀 ,",""
"633",490,"M1:","..[[[鬥很兇]]] .",""
"634",491,"M2:","[[[那很無]]]聊啊 .",""
"635",NA,"M2:","沒有意義嘛 .",""
"636",NA,"M2:","唉 .",""
"637",492,"M1:","(0)啊勝他會賺錢 .",""
"638",493,"M2:","(0)對呀 .",""
"639",NA,"M2:","勝做得還不錯啦 .",""
"640",NA,"M2:","以專業經理人來講我覺得他做得不錯 .",""
"641",494,"M1:","..他會賺錢啊 .",""
"642",495,"M2:","(0)um .",""
"643",496,"M2:","..所以<@我覺得很@@好笑@> .",""
"644",497,"M2:","..然後後來好像沒多久 ,",""
"645",498,"M2:","..那個<@吃完飯以後我就聽說他離開了@> .",""
"646",499,"M1:","...喔對呀 .",""
"647",500,"M1:","..那一 ,",""
"648",NA,"M1:","喔那一頓飯 ,",""
"649",501,"M1:","..就是剛 ,",""
"650",502,"M1:","..<L2 announce merge L2>的時候 .",""
"651",503,"M2:","(0)對 .",""
"652",504,"M2:","...然後後來 ,",""
"653",NA,"M2:","他可能就開始很積極 .",""
"654",NA,"M2:","你也知道他也是很<L2 aggressive L2> ,",""
"655",NA,"M2:","他應該就是出去業界到處找到處找然後就 ,",""
"656",NA,"M2:","[跑]去那邊 .",""
"657",505,"M1:","[um] .",""
"658",506,"M1:","...um",""
"659",507,"M1:","..開發金 ,",""
"660",508,"M1:","...(1.4)也沒理他 .",""
"661",NA,"M1:","他 --",""
"662",509,"M2:","X",""
"663",510,"M1:","...(1.2)那個林不是去開發金 ?",""
"664",511,"M2:","(0)喔對林也不喜歡他嘛 .",""
"665",512,"M1:","(0)喔對 ,",""
"666",513,"M1:","..也是 .",""
"667",514,"M1:","..他那個人緣太差了 .",""
"668",515,"M2:","(0)對呀 ,",""
"669",NA,"M2:","因為他那時候 ,",""
"670",NA,"M2:","玩那些無聊的東西 ,",""
"671",516,"M2:","..還管東管西的 ,",""
"672",NA,"M2:","得罪很多人嘛 .",""
"673",517,"M1:","(0)um .",""
"674",NA,"M1:","林脾氣比他更大好不好 .",""
"675",518,"M2:","(0)um .",""
"676",519,"M1:","...林尤其是在白總那邊 ,",""
"677",520,"M1:","...(0.7)更得寵@ .",""
"678",521,"M2:","..um .",""
"679",NA,"M2:","應該是 .",""
