,Sequence,Speaker,Utterance,Column1
481,382,M2:," [然 後 我 就 搬出 來] ,",
482,NA,M2:, 劉坐 到 我 的 位子 上 .,
483,383,M1:, (0)  對對 對[[對 對]] .,
484,384,M2:," [[然 後]] 搬出 來 我 想 說 也 沒差 ,",
485,NA,M2:, 因 為 --,
486,385,M1:," (0)  應該 是 坐在 那 個角 落[那 個] ,",
487,386,M2:, [對] .,
488,387,M1:," (0)  之前 ,",
489,NA,M1:," 就是 ,",
490,388,M1:," ... um ,",
491,389,M1:," ...(.7) 這 個 ,",
492,NA,M1:, 蔡秘書 的 後面 的 後面 黃 後[面] 的 位子 .,
493,390,M2:, [對] .,
494,391,M2:," .. 然後 呢 後來 呢 劉 搬進 去 ,",
495,NA,M2:," 那 我 就 搬出 來 ,",
496,NA,M2:," 那 在 外面 ,",
497,NA,M2:," 反正 也 不 會 常常 遇到 XXX 或 遇到 什麼 東西 ,",
498,NA,M2:, 我 在 外面 也 很 <L2 OK L2> .,
499,392,M2:, .. 可是 有 時候 他 就 會 有 一些 人 在 那 邊晃 來晃 去 .,
500,NA,M2:," 聽說 啦 ,",
501,393,M2:," ... 之前 ,",
502,NA,M2:, 莉還 晃到 裡面 去 .,
503,394,M2:, .. 好 幾次 .,
504,395,M1:," .. um ,",
505,NA,M1:, [那 最好 --,
506,NA,M1:, 最好 看到 --],
507,398,M2:, [X XXX XX 西],
508,396,M1:," .. 最好 看到 白 ,",
509,397,M1:, .. 的 那 個 衣服 是 掛 在 牆壁 上 .,
510,399,M2:," (0)  他 當然 不 會講 啊 ,",
511,NA,M2:," [[反正]] 後來 就 大家 就 有 在 那 邊 ,",
512,400,M2:, ... 抱怨 連天 .,
513,NA,M2:," 所以 後來 ,",
514,NA,M2:, 一 陣子 以後 他 就 沒 繼續 弄 了 .,
515,402,M1:, .. 對 呀 .,
516,403,M2:, (0)  他 好像 就 玩 了 半年 吧 .,
517,404,M1:, .. 我 知道 呀 .,
518,405,M2:, (0)  感覺 那 個 非常 愚蠢 .,
519,406,M2:, .. 非常 可笑 .,
520,407,M1:," .. 我 知道 ,",
521,NA,M1:," 後來 好像 ,",
522,408,M1:," ...(.8)  好像 ,",
523,409,M1:, ... 白總 把 他 --,
524,410,M1:, ...(1.0) 扔 去 投信 了 吧 .,
525,411,M2:," ... 對 啊 ,",
526,NA,M2:, 掛個 副董沒 事幹 吧 .,
527,412,M1:, .. 對阿 副董事長 在 幹 嘛 ?,
528,413,M2:, .. 不 知道 啊 @ @ @ @,
529,414,M1:, (0)  不 過 我 倒是 很 訝異 國泰 証會 找 他 當總 經理 .,
530,415,M2:, (0)  因 為國 泰証 搞 不 清楚 .,
531,416,M1:, (0)  @ @ @,
532,417,M1:, ...(1.0)  我 真 得 很 訝異 .,
533,418,M2:," .. 那 時候 呀 ,",
534,419,M2:," .. 白總 去 唷 ,",
535,420,M1:," .. 他 找誰 當總 經理 都 <L2 OK L2> 呀 ,",
536,NA,M1:, 不要 找 --,
537,421,M1:, .. 找 莉當 --,
538,422,M2:, .. 國泰 我 覺 得 國 泰金 控沒 有 想 要 花 大錢 吧 .,
539,NA,M2:, 他們 的 證券 本來 就 不 做 大 .,
540,NA,M1, 對 呀 .,
541,424,M2:, (0)  他 只是 找個人 去 管理 .,
542,425,M1:, ...(1.1) 對 呀 .,
543,426,M2:," ...(1.0)  那 時候 ,",
544,NA,M2:," 元 大併 寶來 呀 ,",
545,NA,M2:," 然後 ,",
546,427,M2:," ...(1.2)  因為 後 來莉 做 得 那些 奇怪 的 事情 ,",
547,428,M2:, .. 他 在 寶來 裡面 人緣 很 差 .,
548,429,M1:, .. 對 .,
549,430,M2:," (0)  因 為連仁 都 很 討厭 他 ,",
550,NA,M2:," 然後 一些 其他 高階 主管 ,",
551,NA,M2:, 洪什麼 也 都 不 喜歡 他 .,
552,431,M1:," (0) 洪 很 討厭 他 ,",
553,NA,, [<@這 都 知道 @> @] .,
554,432,M2:, [因 為 大家 --],
555,433,M2:," .. 大家 都 覺 得 他 ,",
556,434,M2:," ...(2.0)  在 那 邊 ,",
557,435,M1:, ... 啊 --,
558,436,M2:," (0)  雞 蛋裡 挑骨 頭 ,",
559,NA,M2:, 玩 一些 沒有 --,
560,NA,M2:, 對[投資 沒有 助益 的 事] .,
561,437,M1:, [沒 有 意義 的 東西] .,
562,NA,M1:, 沒有 賺錢 的 東西 阿 .,
563,438,M2:, .. 這 --,
564,439,M2:, .. 然後 後 來讓 他 想 要 --,
565,440,M2:," .. 讓 他 離開 寶來 的 原因 就是 因為 後來 ,",
566,441,M2:," ...(1.3) 元 大併 了 寶來 後 有 一 次 ,",
567,442,M2:, ... 他 不是 請 所有 的 董監 ?,
568,443,M2:," ... 加上 所有 的 ,",
569,444,M2:, .. 應 該說 是 一 級 主管 .,
570,445,M1:, (0)  寶來 董監嗎 ?,
571,446,M2:, ...(1.5) ts k .,
572,NA,M2:, 我 [記 得 好像] 是 寶來 總監 .,
573,447,M1:, [X XX X],
574,448,M2:, .. 整個 集團 的 啦 .,
575,NA,M2:," 然後 還有 只要 好像 副總級 [[以上 的]] 高階 主管 ,",
576,450,M1:, [[um]] .,
577,449,M2:, .. 他 幾乎 全部 都 請 .,
578,451,M1:, ...(1.3) 莉 ?,
579,452,M2:, ... 那 個元 大 經控 嘛 .,
580,453,M1:," (0)  喔對 對對 對對 對對 ,",
581,NA,M1:, 我 知道 .,
582,455,M2:, [在 世貿 的 [X X] .,
583,454,M1:, .. [這 我 知道] .,
584,NA,M1:, 對對 對這 我 知道 .,
585,456,M2:," (0)  可是 那 一 次 呢 ,",
586,457,M2:," .. 他們 就 有 ,",
587,458,M2:," ...(0.8)  有 漏掉 幾個人 ,",
588,NA,M2:, 我 覺 得 是 刻意 漏掉 .,
589,459,M1:, .. 漏掉 莉 ?,
590,460,M2:, .. 對 .,
591,461,M2:, .. [然 後] --,
592,462,M1:, [對 阿那天 沒] 看到 他 .,
593,463,M2:," .. 莉 呢 ,",
594,NA,M2:," 就 哭哭啼啼 的 跑去 跟 ,",
595,464,M1:, ... 黃董 <L3 哭夭 L3> ?,
596,465,M2:," ...(0.7) 跑去 跟 黃 監察 哭哭啼啼 ,",
597,NA,M2:," 然後 又 跑去 跟 那 個 ,",
598,466,M2:, .. 白 太太 .,
599,NA,M2:," 就 那 個 ,",
600,467,M2:, ... 魏董 哭哭啼啼 @ .,
601,NA,M2:," 你 知道 ,",
602,NA,M2:," 那 [兩 個人] ,",
603,468,M1:," [魏 董] ,",
604,NA,M1:, 魏董 根本 不 管事 [[阿]] .,
605,469,M2:, [[對 呀]] <@ 那 --,
606,470,M2:," .. 那 這 兩位 也 只能 兩手 一 攤 [[[說]]] ,",
607,472,M1:, [[[對 啊]]] .,
608,471,M2:, .. 這這 個[[[[不是 我 能 決定 的]]]] @> .,
609,473,M1:, ...(0.6)  [[[[@ @ @ @ @]}]],
610,474,M2:," (0)  @然 後 大家 心裡 就 想 說 可見 他人 緣多 差 ,",
611,NA,M2:, 沒有 人 --,
612,475,M2:," .. 因 為元 大 那 時候 一定 應該 已 經 做 過 了 一 個 <L2 pool L2> ,",
613,NA,M2:, 一 個 普查 .,
614,476,M1:," (0) 沒 有 我 覺 得 那 個 是 ,",
615,477,M1:," .. 我 高度 懷疑 是 ,",
616,478,M1:, ... 高階 <@ 主管 故意 漏掉 他 @> .,
617,NA,M1:, 沒道 理勝 去 他 沒 去 耶 .,
618,479,M1:, .. eh 老 實講 真 得 沒 道理 .,
619,480,M2:," (0) 沒 有 ,",
620,NA,M2:," 搞不好 是 有人 一直 在 馬家 前面 講 他 壞話 ,",
621,NA,M2:, 說這 個人 很 糟 .,
622,481,M1:, (0)  應 --,
623,482,M1:, .. 應該 不至 於 .,
624,483,M2:, (0)  @ <@ 這 我 就 不 清 [楚 了] @> .,
625,484,M1:, [應 該 不是] .,
626,485,M2:," .. 因 為勝 也 很 討厭 他 ,",
627,NA,M2:, 我 知[[道]] .,
628,486,M1:," [[我 知道]] 勝 很 討厭 他 ,",
629,NA,M1:," 因為 他 ,",
630,487,M1:, .. 他 --,
631,488,M1:, .. 在 劉 --,
632,489,M1:," .. 在 投信 那 邊 跟 勝 對鬥 呀 ,",
633,490,M1:, .. [[[鬥 很 兇]]] .,
634,491,M2:, [[[那 很 無]]]聊 啊 .,
635,NA,M2:, 沒有 意義 嘛 .,
636,NA,M2:, 唉 .,
637,492,M1:, (0)  啊 勝 他 會賺 錢 .,
638,493,M2:, (0) 對 呀 .,
639,NA,M2:, 勝 做 得 還 不 錯 啦 .,
640,NA,M2:, 以 專業 經理人 來講 我 覺得 他 做 得 不 錯 .,
641,494,M1:, .. 他 會賺錢 啊 .,
642,495,M2:, (0)  um .,
643,496,M2:, .. 所以 <@ 我 覺 得 很 @ @ 好笑 @> .,
644,497,M2:," .. 然後 後來 好像 沒多久 ,",
645,498,M2:, .. 那 個 <@ 吃 完 飯 以後 我 就 聽說 他 離開 了 @> .,
646,499,M1:, ... 喔對 呀 .,
647,500,M1:," .. 那 一 ,",
648,NA,M1:," 喔 那 一 頓 飯 ,",
649,501,M1:," .. 就是 剛 ,",
650,502,M1:, .. <L2 announce merge L2> 的 時候 .,
651,503,M2:, (0)  對 .,
652,504,M2:," ... 然後 後來 ,",
653,NA,M2:, 他 可能 就 開始 很 積極 .,
654,NA,M2:," 你 也 知道 他 也 是 很 <L2 aggressive L2> ,",
655,NA,M2:," 他 應該 就是 出去 業界 到 處 找到 處 找然 後 就 ,",
656,NA,M2:, [跑] 去 那 邊 .,
657,505,M1:, [um] .,
658,506,M1:, ... um,
659,507,M1:," .. 開發金 ,",
660,508,M1:, ...(1.4)  也 沒理 他 .,
661,NA,M1:, 他 --,
662,509,M2:, X,
663,510,M1:, ...(1.2)  那 個林 不是 去 開發金 ?,
664,511,M2:, (0)  喔 對林 也 不 喜歡 他 嘛 .,
665,512,M1:," (0)  喔 對 ,",
666,513,M1:, .. 也 是 .,
667,514,M1:, .. 他 那 個人 緣 太 差 了 .,
668,515,M2:," (0) 對 呀 ,",
669,NA,M2:," 因為 他 那 時候 ,",
670,NA,M2:," 玩 那些 無聊 的 東西 ,",
671,516,M2:," .. 還管 東 管西 的 ,",
672,NA,M2:, 得罪 很多 人 嘛 .,
673,517,M1:, (0)  um .,
674,NA,M1:, 林脾氣 比 他 更 大好 不 好 .,
675,518,M2:, (0)  um .,
676,519,M1:," ... 林尤其是 在 白總 那 邊 ,",
677,520,M1:, ...(0.7)  更 得 寵 @ .,
678,521,M2:, .. um .,
679,NA,M2:, 應該 是 .,
